C:\Users\Michael's PC\Documents\Data Mining\Project\scripts\American Sniper.txt
'INSURGENTS' , 'NNP' , 16
'CHIEF' , 'NNP' , 16
'MARTIN' , 'NNP' , 16
'eye' , 'NN' , 15
'Marines' , 'NNPS' , 15
'CROSS-HAIRS' , 'JJ' , 15
'OF' , 'NNP' , 15
'too' , 'RB' , 15
'her' , 'PRP' , 15
'no' , 'DT' , 15
'behind' , 'IN' , 15
'has' , 'VBZ' , 15
'two' , 'CD' , 15
'fire' , 'NN' , 15
'DOCTOR' , 'NNP' , 15
'floor' , 'NN' , 15
'Legend' , 'NNP' , 15
'FATHER' , 'NNP' , 15
'COLTON' , 'NNP' , 15
'ROOFTOP' , 'NNP' , 14
'GOAT' , 'NNP' , 14
'window' , 'NN' , 14
'MAN' , 'NNP' , 14
'KID' , 'NNP' , 14
'little' , 'JJ' , 14
'Jeff' , 'NNP' , 14
'right' , 'JJ' , 14
'TV' , 'NN' , 14
'ROLLE' , 'NNP' , 14
'DAY' , 'NNP' , 14
'How' , 'WRB' , 14
'other' , 'JJ' , 14
'TAYA' , 'VB' , 14
'past' , 'IN' , 14
'COL.' , 'NNP' , 14
'MASTER' , 'NNP' , 14
'OFFICER' , 'NNP' , 13
'lays' , 'VBZ' , 13
'sniper' , 'NN' , 13
'open' , 'JJ' , 13
'shit' , 'NN' , 13
'SCOPE' , 'NNP' , 13
'rooftop' , 'NN' , 13
'takes' , 'VBZ' , 13
'holds' , 'VBZ' , 13
'mike' , 'RB' , 13
'IN' , 'NNP' , 13
'three' , 'CD' , 13
'Then' , 'RB' , 13
'NAVY' , 'NNP' , 13
'back' , 'NN' , 13
'trying' , 'VBG' , 13
'room' , 'NN' , 13
'boy' , 'NN' , 13
'SHEAD' , 'NNP' , 13
'JONES' , 'NNP' , 13
'Kyle' , 'NNP' , 12
'same' , 'JJ' , 12
'PHONE' , 'NNP' , 12
'hair' , 'NN' , 12
'air' , 'NN' , 12
'son' , 'NN' , 12
'MARINES' , 'NNP' , 12
'father' , 'NN' , 12
'make' , 'VB' , 12
'ROOM' , 'NNP' , 12
'how' , 'WRB' , 12
'blood' , 'NN' , 12
'or' , 'CC' , 12
'light' , 'NN' , 12
'fuck' , 'NN' , 12
'good' , 'JJ' , 12
'feet' , 'NNS' , 12
'up' , 'RB' , 12
'That' , 'NNP' , 12
'been' , 'VBN' , 12
'look' , 'VB' , 12
'TOSH' , 'NNP' , 12
'have' , 'VB' , 12
'Mustafa' , 'NNP' , 12
'roof' , 'NN' , 12
'SHOT' , 'NNP' , 12
'That' , 'DT' , 12
'go' , 'VB' , 12
'AGENT' , 'NNP' , 12
'TO' , 'NNP' , 11
'2' , 'CD' , 11
'those' , 'DT' , 11
'kid' , 'NN' , 11
'ECU' , 'NNP' , 11
'say' , 'VBP' , 11
'Negative' , 'NNP' , 11
'wrong' , 'JJ' , 11
'running' , 'VBG' , 11
'gun' , 'NN' , 11
'runs' , 'VBZ' , 11
'men' , 'NNS' , 11
'bad' , 'JJ' , 11
'where' , 'WRB' , 11
'Is' , 'VBZ' , 11
'said' , 'VBD' , 11
'Why' , 'WRB' , 11
'Navy' , 'NNP' , 11
'had' , 'VBD' , 11
''ve' , 'VBP' , 11
'name' , 'NN' , 11
'RINGS' , 'NNP' , 11
'never' , 'RB' , 11
'than' , 'IN' , 11
'PO' , 'NNP' , 11
'tell' , 'VB' , 11
'next' , 'JJ' , 11
'more' , 'JJR' , 11
'car' , 'NN' , 11
'As' , 'IN' , 11
'In' , 'IN' , 11
'Humvee' , 'NNP' , 11
'dog' , 'NN' , 10
'convoy' , 'NN' , 10
'old' , 'JJ' , 10
'wind' , 'NN' , 10
'world' , 'NN' , 10
'Fuck' , 'NNP' , 10
'goes' , 'VBZ' , 10
'gon' , 'VBG' , 10
'6' , 'CD' , 10
'There' , 'EX' , 10
'house' , 'NN' , 10
'there' , 'EX' , 10
'FIND' , 'NNP' , 10
'until' , 'IN' , 10
'steps' , 'NNS' , 10
'take' , 'VB' , 10
'Did' , 'NNP' , 10
'small' , 'JJ' , 10
'Not' , 'RB' , 10
'CAMP' , 'NNP' , 10
'comes' , 'VBZ' , 10
'onto' , 'IN' , 10
'sees' , 'VBZ' , 10
'AQI' , 'NNP' , 10
'out' , 'RB' , 10
'INSURGENT' , 'NNP' , 10
'SHEIKH' , 'NNP' , 10
'HOFFSTADER' , 'NNP' , 10
'GUARD' , 'NNP' , 10
'ONE' , 'CD' , 10
'FALLUJAH' , 'NNP' , 9
'COMMANDING' , 'JJ' , 9
'Marine' , 'NNP' , 9
'over' , 'RP' , 9
'taking' , 'VBG' , 9
'Her' , 'PRP$' , 9
'Can' , 'MD' , 9
'dust' , 'NN' , 9
'YOUNG' , 'NNP' , 9
'CLOSE' , 'NNP' , 9
'nods' , 'NNS' , 9
'first' , 'JJ' , 9
'any' , 'DT' , 9
'family' , 'NN' , 9
'sits' , 'VBZ' , 9
'truck' , 'NN' , 9
'steps' , 'VBZ' , 9
'job' , 'NN' , 9
'water' , 'NN' , 9
'ready' , 'JJ' , 9
'even' , 'RB' , 9
'#' , '#' , 9
'MEN' , 'NNP' , 9
'Zarqawi' , 'NNP' , 9
'BUTCHER' , 'NNP' , 9
'drill' , 'NN' , 9
'hear' , 'VB' , 9
'ahead' , 'RB' , 9
'COMPANY' , 'NNP' , 8
'3' , 'CD' , 8
'glass' , 'NN' , 8
'Texas' , 'NNP' , 8
'below' , 'IN' , 8
'watching' , 'VBG' , 8
'watches' , 'VBZ' , 8
'Over' , 'IN' , 8
'think' , 'VBP' , 8
'call' , 'NN' , 8
'SFX' , 'NN' , 8
'arms' , 'NNS' , 8
'Get' , 'NNP' , 8
'day' , 'NN' , 8
'would' , 'MD' , 8
'darkness' , 'NN' , 8
'front' , 'NN' , 8
'right' , 'RB' , 8
'TRUCK' , 'NNP' , 8
'school' , 'NN' , 8
'Just' , 'NNP' , 8
'let' , 'VB' , 8
'HIS' , 'NNP' , 8
'fuckin' , 'JJ' , 8
'LATER' , 'RB' , 8
'doing' , 'VBG' , 8
'get' , 'VBP' , 8
'When' , 'WRB' , 8
'last' , 'JJ' , 8
'find' , 'VB' , 8
'black' , 'JJ' , 8
'gone' , 'VBN' , 8
'thing' , 'NN' , 8
'breath' , 'NN' , 8
'between' , 'IN' , 8
'kids' , 'NNS' , 8
'scope' , 'NN' , 8
'sky' , 'NN' , 8
'GUNFIRE' , 'NNP' , 8
'WINSTON' , 'NNP' , 8
'APARTMENT' , 'NNP' , 8
'come' , 'VB' , 8
'track' , 'NN' , 8
'side' , 'NN' , 8
'AN' , 'NNP' , 8
'go' , 'VBP' , 8
'AL-OBEIDI' , 'NNP' , 8
'Sheik' , 'NNP' , 8
'ALLEY' , 'NNP' , 8
'one' , 'NN' , 8
'Colton' , 'NNP' , 8
'Tell' , 'NNP' , 8
'RANGER' , 'VB' , 8
'ACROSS' , 'NNP' , 7
'SFX' , 'NNP' , 7
'CELL' , 'NNP' , 7
'push' , 'NN' , 7
'deep' , 'JJ' , 7
'shoulder' , 'NN' , 7
'headed' , 'VBN' , 7
'grenade' , 'NN' , 7
'forward' , 'RB' , 7
'Yes' , 'NNP' , 7
'look' , 'VBP' , 7
'brother' , 'NN' , 7
'gets' , 'VBZ' , 7
'protect' , 'VB' , 7
'Wind' , 'NNP' , 7
'guy' , 'NN' , 7
'That' , 'IN' , 7
'laughing' , 'VBG' , 7
'every' , 'DT' , 7
'six' , 'CD' , 7
'dead' , 'JJ' , 7
'na' , 'RB' , 7
'time' , 'NN' , 7
'30' , 'CD' , 7
'these' , 'DT' , 7
'boys' , 'NNS' , 7
'SEAL' , 'NNP' , 7
'kind' , 'NN' , 7
'should' , 'MD' , 7
'Two' , 'CD' , 7
'NIGHT' , '$' , 7
'after' , 'IN' , 7
'Well' , 'NNP' , 7
'under' , 'IN' , 7
'pulling' , 'VBG' , 7
'close' , 'RB' , 7
'appears' , 'VBZ' , 7
'hall' , 'NN' , 7
'reaches' , 'VBZ' , 7
'TEAM' , 'NNP' , 7
'TIME' , 'NNP' , 7
'alley' , 'NN' , 7
'Lee' , 'NNP' , 7
'kills' , 'NNS' , 7
'OUT' , 'NNP' , 7
'find' , 'VBP' , 7
'up' , 'IN' , 7
'block' , 'NN' , 7
'Hey' , 'NNP' , 7
'dark' , 'JJ' , 7
'OF' , 'IN' , 7
'building' , 'NN' , 7
'RPG' , 'NNP' , 7
'LEADER' , 'NNP' , 7
'van' , 'NN' , 7
'mike' , 'NN' , 7
'1' , 'CD' , 6
'rifle' , 'NN' , 6
'24' , 'CD' , 6
'TRACK' , 'NNP' , 6
'windage' , 'NN' , 6
'thinking' , 'VBG' , 6
'woman' , 'NN' , 6
'yards' , 'NNS' , 6
'moving' , 'VBG' , 6
'THUMP-THUMP' , 'JJ' , 6
'4' , 'CD' , 6
'life' , 'NN' , 6
'its' , 'PRP$' , 6
'so' , 'IN' , 6
'Our' , 'PRP$' , 6
'Bible' , 'NNP' , 6
'big' , 'JJ' , 6
'BEDROOM' , 'NNP' , 6
'people' , 'NNS' , 6
'PUSH' , 'NNP' , 6
'tears' , 'NNS' , 6
'BACK' , 'NNP' , 6
'blows' , 'VBZ' , 6
'12' , 'CD' , 6
'someone' , 'NN' , 6
'picking' , 'VBG' , 6
'GATE' , 'NNP' , 6
'high' , 'JJ' , 6
'say' , 'VB' , 6
'chest' , 'NN' , 6
'cowboy' , 'NN' , 6
'opens' , 'VBZ' , 6
'left' , 'VBD' , 6
'faces' , 'VBZ' , 6
'How' , 'NNP' , 6
'love' , 'VBP' , 6
'My' , 'NNP' , 6
'crying' , 'VBG' , 6
'wo' , 'MD' , 6
'Dauber' , 'NNP' , 6
'Where' , 'WRB' , 6
'Yeah' , 'NNP' , 6
'guys' , 'VBP' , 6
'am' , 'VBP' , 6
'believe' , 'VBP' , 6
'sorry' , 'JJ' , 6
'Or' , 'CC' , 6
'TO' , 'NN' , 6
'Hold' , 'NNP' , 6
'NIGHT' , 'NN' , 6
'falls' , 'VBZ' , 6
'bed' , 'NN' , 6
'No' , 'UH' , 6
'bounds' , 'VBZ' , 6
'Chief' , 'NNP' , 6
'CUT' , 'NNP' , 6
'Fallujah' , 'NNP' , 6
'stop' , 'NN' , 6
'kill' , 'VB' , 6
'windows' , 'NNS' , 6
'night' , 'NN' , 6
'happened' , 'VBD' , 6
'lights' , 'NNS' , 6
'BIGGLES' , 'IN' , 6
'fucking' , 'VBG' , 6
'seen' , 'VBN' , 6
'wife' , 'NN' , 6
'SAN' , 'NNP' , 6
'DIEGO' , 'NNP' , 6
'wait' , 'VB' , 6
'Iraq' , 'NNP' , 6
'dad' , 'NN' , 6
'inside' , 'IN' , 6
'TENT' , 'NNP' , 6
'keep' , 'VB' , 6
'THREE' , 'NNP' , 6
'enemy' , 'NN' , 6
'help' , 'VB' , 6
'GUNNER' , 'NNP' , 6
'smoke' , 'NN' , 6
'Omar' , 'NNP' , 6
'past' , 'JJ' , 6
'north' , 'NN' , 6
'hands' , 'NNS' , 6
'seat' , 'NN' , 6
'four' , 'CD' , 6
'Ramadi' , 'NNP' , 6
'move' , 'NN' , 6
'IN' , 'VBZ' , 6
'MADS' , 'NNP' , 6
'MCKENNA' , 'NNP' , 6
'RANGER' , 'NNP' , 6
'WYNN' , 'NNP' , 6
'gave' , 'VBD' , 5
'BLACK' , 'NNP' , 5
'tank' , 'NN' , 5
'sun' , 'NN' , 5
'buildings' , 'NNS' , 5
'metal' , 'NN' , 5
'direction' , 'NN' , 5
'see' , 'VBP' , 5
'land' , 'NN' , 5
'male' , 'NN' , 5
'cell' , 'NN' , 5
'studies' , 'NNS' , 5
'left' , 'NN' , 5
'compensating' , 'VBG' , 5
'finger' , 'NN' , 5
'off' , 'RB' , 5
'WOMAN' , 'NNP' , 5
'AND' , 'NNP' , 5
'structure' , 'NN' , 5
'robes' , 'NNS' , 5
'leading' , 'VBG' , 5
'different' , 'JJ' , 5
'quiet' , 'JJ' , 5
'ever' , 'RB' , 5
'leave' , 'VB' , 5
'fine' , 'JJ' , 5
'kill' , 'NN' , 5
'hands' , 'VBZ' , 5
'neck' , 'NN' , 5
'5' , 'CD' , 5
'understand' , 'VB' , 5
'watches' , 'NNS' , 5
'laughs' , 'VBZ' , 5
'Dust' , 'NNP' , 5
'9' , 'CD' , 5
'own' , 'JJ' , 5
'picks' , 'VBZ' , 5
'leaving' , 'VBG' , 5
'shock' , 'NN' , 5
'along' , 'IN' , 5
'past' , 'NN' , 5
'road' , 'NN' , 5
'stares' , 'VBZ' , 5
'bag' , 'NN' , 5
'outside' , 'IN' , 5
'16' , 'CD' , 5
'hangs' , 'NNS' , 5
'suddenly' , 'RB' , 5
'leaves' , 'VBZ' , 5
'chair' , 'NN' , 5
'ai' , 'VBP' , 5
'CHRIS' , 'NN' , 5
'plays' , 'VBZ' , 5
'Look' , 'VB' , 5
'RECRUITER' , 'NNP' , 5
'myself' , 'PRP' , 5
'wan' , 'VBP' , 5
'20' , 'CD' , 5
'/' , 'NNP' , 5
'50' , 'CD' , 5
'new' , 'JJ' , 5
'talking' , 'VBG' , 5
'starts' , 'VBZ' , 5
'stop' , 'VB' , 5
'line' , 'NN' , 5
'That' , 'WDT' , 5
'Biggles' , 'NNS' , 5
'enough' , 'RB' , 5
'himself' , 'PRP' , 5
'32' , 'CD' , 5
'each' , 'DT' , 5
'crowd' , 'NN' , 5
'bar' , 'NN' , 5
'sniper' , 'JJ' , 5
'shoot' , 'VB' , 5
'inches' , 'NNS' , 5
'Only' , 'RB' , 5
'both' , 'DT' , 5
'another' , 'DT' , 5
'RANGE' , 'NNP' , 5
'body' , 'NN' , 5
'pause' , 'NN' , 5
'BAM' , 'NNP' , 5
'might' , 'MD' , 5
'35' , 'CD' , 5
'says' , 'VBZ' , 5
'made' , 'VBD' , 5
'ANOTHER' , 'NNP' , 5
'draws' , 'VBZ' , 5
'shit' , 'VB' , 5
'sheets' , 'NNS' , 5
'41' , 'CD' , 5
'FLOOR' , 'NNP' , 5
'green' , 'JJ' , 5
'ago' , 'RB' , 5
'distant' , 'JJ' , 5
'&' , 'CC' , 5
'flag' , 'NN' , 5
'rig' , 'NN' , 5
'Marines' , 'NNS' , 5
'city' , 'NN' , 5
'45' , 'CD' , 5
'distance' , 'NN' , 5
'stand' , 'VBP' , 5
'NEST' , 'NNP' , 5
'lowers' , 'VBZ' , 5
'red' , 'JJ' , 5
'cover' , 'NN' , 5
'baby' , 'NN' , 5
'CAR' , 'NNP' , 5
'charge' , 'NN' , 5
'HALLWAY' , 'NNP' , 5
'ammo' , 'NN' , 5
'entry' , 'NN' , 5
'radio' , 'NN' , 5
'OLD' , 'NNP' , 5
'shooter' , 'NN' , 5
'soldiers' , 'NNS' , 5
'God' , 'NNP' , 5
'sure' , 'JJ' , 5
'gunfire' , 'NN' , 5
'HOUSE' , 'NNP' , 5
'things' , 'NNS' , 5
'thought' , 'VBD' , 5
'GRONSKI' , 'NNP' , 5
'75' , 'CD' , 5
'PHOTO' , 'NNP' , 5
'F-18' , 'NNP' , 5
'fucking' , 'JJ' , 5
'THOMPSON' , 'NNP' , 5
'doorway' , 'NN' , 5
'TERP' , 'NNP' , 5
'MEDICAL' , 'NNP' , 5
'ROUND' , 'NNP' , 5
'No' , 'DT' , 5
'help' , 'NN' , 5
'meters' , 'NNS' , 5
'long' , 'RB' , 5
'TAYA' , 'NN' , 5
'happening' , 'VBG' , 5
'BOY' , 'NNP' , 5
'holding' , 'VBG' , 5
'IRAQI' , 'NNP' , 5
'kneels' , 'NNS' , 5
'MOM' , 'NNP' , 5
'Some' , 'DT' , 4
'walk' , 'VBP' , 4
'SAME' , 'NNP' , 4
'steel' , 'NN' , 4
'.300' , 'JJ' , 4
'scene' , 'NN' , 4
'river' , 'NN' , 4
'sway' , 'RB' , 4
'BUZZ' , 'NNP' , 4
'MAN' , 'NN' , 4
'military-aged' , 'JJ' , 4
'orders' , 'NNS' , 4
'beneath' , 'IN' , 4
'carrying' , 'VBG' , 4
'object' , 'NN' , 4
'THUMP-THUMP' , 'NNP' , 4
'trash' , 'NN' , 4
'blows' , 'NNS' , 4
'exhale' , 'NN' , 4
'struggles' , 'VBZ' , 4
'fighting' , 'VBG' , 4
'upon' , 'IN' , 4
'pulses' , 'VBZ' , 4
'barrel' , 'NN' , 4
'round' , 'NN' , 4
'TEXAS' , 'NNP' , 4
'8' , 'CD' , 4
'jumps' , 'NNS' , 4
'stops' , 'VBZ' , 4
'grabs' , 'VBD' , 4
'alive' , 'JJ' , 4
'give' , 'VB' , 4
'tries' , 'VBZ' , 4
'best' , 'JJS' , 4
'slip' , 'VBP' , 4
'7' , 'CD' , 4
'10' , 'CD' , 4
'watch' , 'VBP' , 4
'fight' , 'NN' , 4
'These' , 'DT' , 4
'11' , 'CD' , 4
'belt' , 'NN' , 4
'table' , 'NN' , 4
'shows' , 'VBZ' , 4
'cover' , 'VBP' , 4
'14' , 'CD' , 4
'makes' , 'VBZ' , 4
'ring' , 'NN' , 4
'19' , 'CD' , 4
'15' , 'CD' , 4
'drives' , 'VBZ' , 4
'put' , 'VB' , 4
'Shit' , 'NNP' , 4
'almost' , 'RB' , 4
'sheet' , 'NN' , 4
'area' , 'NN' , 4
'Who' , 'WP' , 4
'SARAH' , 'NNP' , 4
'aside' , 'RB' , 4
'called' , 'VBN' , 4
'saw' , 'VBD' , 4
'wan' , 'VB' , 4
'armed' , 'VBN' , 4
'quit' , 'VB' , 4
'21' , 'CD' , 4
'CANDIDATES' , 'NNP' , 4
'Seal' , 'NNP' , 4
'points' , 'NNS' , 4
'ring' , 'VBG' , 4
'around' , 'RB' , 4
'look' , 'NN' , 4
'23' , 'CD' , 4
'sand' , 'NN' , 4
'pour' , 'VBP' , 4
'pregnant' , 'JJ' , 4
'start' , 'VBP' , 4
'So' , 'IN' , 4
'34' , 'CD' , 4
'slow' , 'JJ' , 4
'white' , 'JJ' , 4
'Hooyah' , 'NNP' , 4
'tall' , 'JJ' , 4
'inside' , 'RB' , 4
'26' , 'CD' , 4
'end' , 'NN' , 4
'BAR' , 'NNP' , 4
'hunt' , 'VB' , 4
'being' , 'VBG' , 4
'pants' , 'NNS' , 4
'girl' , 'NN' , 4
'Go' , 'NNP' , 4
'alone' , 'RB' , 4
'taken' , 'VBN' , 4
'tell' , 'VBP' , 4
'answer' , 'NN' , 4
'Are' , 'NNP' , 4
'My' , 'PRP$' , 4
'country' , 'NN' , 4
'protecting' , 'VBG' , 4
'Nice' , 'NNP' , 4
'mouth' , 'NN' , 4
'BILLY' , 'NNP' , 4
'MACHEN' , 'NNP' , 4
'open' , 'VBP' , 4
'So' , 'RB' , 4
'PAN' , 'NNP' , 4
'game' , 'NN' , 4
'sit' , 'NN' , 4
'Mirage' , 'NNP' , 4
'finds' , 'VBZ' , 4
'nothing' , 'NN' , 4
'EYES' , 'NNP' , 4
'rest' , 'NN' , 4
'beat' , 'NN' , 4
'done' , 'VBN' , 4
'talk' , 'VB' , 4
'dance' , 'NN' , 4
'close' , 'JJ' , 4
'40' , 'CD' , 4
'reveal' , 'VB' , 4
'weeks' , 'NNS' , 4
'part' , 'NN' , 4
'else' , 'RB' , 4
'SQUAD' , 'NNP' , 4
'Let' , 'VB' , 4
'Move' , 'NNP' , 4
'apartment' , 'NN' , 4
'CONT' , 'NNP' , 4
''D' , 'NNP' , 4
'stairs' , 'NNS' , 4
'bathroom' , 'NN' , 4
'FIRES' , 'NNP' , 4
'ROUNDS' , 'NNP' , 4
'ELIZABETH' , 'NNP' , 4
'1ST' , 'CD' , 4
'Marines' , 'NNP' , 4
'SPEEDS' , 'NNP' , 4
'rooftops' , 'NNS' , 4
'corner' , 'NN' , 4
'slips' , 'VBZ' , 4
'palm' , 'NN' , 4
'VIPER' , 'NNP' , 4
'gate' , 'NN' , 4
'came' , 'VBD' , 4
'swoosh' , 'NN' , 4
'UP' , 'NNP' , 4
'grass' , 'NN' , 4
'finally' , 'RB' , 4
'BASE' , 'NNP' , 4
'RIFLE' , 'NNP' , 4
'follows' , 'VBZ' , 4
'covered' , 'VBN' , 4
'well' , 'RB' , 4
'JAG' , 'NNP' , 4
'killed' , 'VBN' , 4
'300' , 'CD' , 4
'number' , 'NN' , 4
'news' , 'NN' , 4
'TRANSITION' , 'NN' , 4
'COLONEL' , 'NNP' , 4
'training' , 'NN' , 4
'months' , 'NNS' , 4
'60' , 'CD' , 4
'Iraqi' , 'NNP' , 4
'KILO' , 'NNP' , 4
'One' , 'CD' , 4
'POPS' , 'NNP' , 4
'doors' , 'NNS' , 4
'hold' , 'VB' , 4
'SANCHEZ' , 'NNP' , 4
'On' , 'IN' , 4
'staring' , 'VBG' , 4
'OMAR' , 'NNP' , 4
'Arabic' , 'NNP' , 4
'words' , 'NNS' , 4
'Fanus' , 'NNP' , 4
'Sheikh' , 'NNP' , 4
'pay' , 'VB' , 4
'want' , 'VB' , 4
'hit' , 'VBD' , 4
'CONTRACTORS' , 'NNP' , 4
'heard' , 'VBD' , 4
'DISTANT' , 'NNP' , 4
'down' , 'IN' , 4
'screaming' , 'VBG' , 4
'bro' , 'NN' , 4
'72' , 'CD' , 4
'rage' , 'NN' , 4
'coffee' , 'NN' , 4
'leg' , 'NN' , 4
'follow' , 'VBP' , 4
'110' , 'CD' , 4
'FADE' , 'NNP' , 4
'turning' , 'VBG' , 4
'C-17' , 'NNP' , 4
'waiting' , 'VBG' , 4
'emotion' , 'NN' , 4
'desert' , 'NN' , 4
'RAMADI' , 'NNP' , 4
'getting' , 'VBG' , 4
'HALAL' , 'NNP' , 4
'streets' , 'NNS' , 4
'visible' , 'JJ' , 4
'Terp' , 'NNP' , 4
'D' , 'NN' , 4
'TRIBAL' , 'NNP' , 4
'LONG' , 'NNP' , 4
'daughter' , 'NN' , 4
'bangs' , 'NNS' , 4
'McKenna' , 'NNP' , 4
'101' , 'CD' , 4
'save' , 'VB' , 4
'SIX' , 'NNP' , 4
'die' , 'VB' , 4
'vehicles' , 'NNS' , 4
'HOME' , 'NNP' , 4
'letter' , 'NN' , 4
'Stryker' , 'NNP' , 4
'trunk' , 'NN' , 4
'ONE' , 'NNP' , 4
'boots' , 'NNS' , 4
'AMERICAN' , 'NNP' , 3
